Review ID,Movie ID,Critic Name,Review Score (1-100),Review Source,Date
R001,288,,80.0,Film Daily,2019-01-21
R002,081,Diana Vang,88.0,Screen Critics,2016-02-11
R003,079,Jay Robbins,48.0,Film Daily,2019-12-04
R004,213,Shawn Turner,,Movie Weekly,2020-08-30
R005,088,,88.0,Movie Weekly,2022-06-16
R006,126,Lorraine Doyle,66.0,Cinema Today,2019-10-23
R007,212,Martha Rogers,100.0,Screen Critics,2019-01-21
R008,016,Daniel Anderson,85.0,Screen Critics,2015-12-14
R009,174,Samuel King,50.0,Movie Weekly,2017-13-05
R010,339,Jordan Carson,76.0,Film Daily,2022-12-31
R011,339,Aaron Meyers,66.0,Movie Weekly,2022-11-10
R012,284,Jeremy Smith,60.0,The Reel View,2017-14-05
R013,271,Kirsten Roberts,65.0,Movie Weekly,2021-02-07
R014,320,William Dougherty,84.0,The Reel View,2023-10-07
R015,333,James Woods,59.0,Film Daily,2017-14-05
R016,200,Michael Robbins,48.0,Screen Critics,2018-03-08
R017,110,,73.0,The Reel View,2016-10-17
R018,012,,77.0,The Reel View,2023-09-06
R019,156,Michael Rivera,47.0,Film Daily,2017-11-29
R020,322,Wendy Colon,88.0,Film Daily,2021-06-02
R021,378,,55.0,Screen Critics,2022-01-15
R022,341,James Wagner,62.0,The Reel View,2023-10-20
R023,367,Jonathan Harris,64.0,Screen Critics,2016-03-07
R024,168,Lori Gonzalez,89.0,The Reel View,2016-08-23
R025,365,Victor Rice,45.0,Film Daily,2016-06-16
R026,244,Oscar Sims,,Screen Critics,2021-04-08
R027,266,Monica Mullins,77.0,Movie Weekly,2019-12-08
R028,353,James Torres,66.0,Cinema Today,2016-06-04
R029,249,Juan Young,85.0,Screen Critics,2016-04-28
R030,356,Diana Berger,87.0,Cinema Today,2019-02-21
R031,061,Mary Kerr,47.0,The Reel View,2015-06-14
R032,268,Alex Medina,63.0,The Reel View,2015-04-25
R033,074,Carl Goodman,43.0,The Reel View,2017-06-02
R034,094,Karina Smith,47.0,Screen Critics,2015-07-03
R035,214,Donna Gardner,68.0,The Reel View,2020-04-30
R036,369,Emily Ramirez,48.0,Screen Critics,2023-07-17
R037,231,Madison Dunn,86.0,The Reel View,2017-15-05
R038,341,Daniel Martin,97.0,Movie Weekly,2015-07-07
R039,344,Heather Rice,81.0,Film Daily,2022-12-06
R040,013,Benjamin Guzman,85.0,The Reel View,2016-05-22
R041,330,Deanna Price,79.0,Screen Critics,2015-08-05
R042,292,Jennifer Miller,72.0,Film Daily,2020-12-18
R043,093,Andre Joyce,53.0,Cinema Today,2021-07-01
R044,228,,60.0,Movie Weekly,2020-07-06
R045,012,Gregory Logan,41.0,Screen Critics,2017-11-19
R046,047,Jeffrey Pierce,,Cinema Today,2017-01-18
R047,131,Daniel Anderson,100.0,Movie Weekly,2015-08-30
R048,315,Michele Daniels,85.0,Film Daily,2016-02-09
R049,164,William Williams,56.0,Movie Weekly,2016-05-10
R050,027,Guy Gould,77.0,Cinema Today,2023-06-09
R051,259,William Baker,43.0,The Reel View,2019-07-26
R052,034,Kimberly Smith,54.0,Film Daily,2021-07-28
R053,346,Ryan Robinson,81.0,Cinema Today,2019-07-25
R054,229,,53.0,Cinema Today,2016-11-19
R055,126,Jasmine Valdez,98.0,Screen Critics,2015-01-05
R056,238,James Kirby,81.0,Cinema Today,2017-14-05
R057,140,Robert Thompson,64.0,The Reel View,2017-05-21
R058,300,Amber Norton,50.0,Screen Critics,2018-05-16
R059,046,Elizabeth Hines,48.0,Screen Critics,2019-11-05
R060,108,John Ayala,60.0,The Reel View,2023-06-11
R061,363,Janice Blair,60.0,The Reel View,2021-09-21
R062,169,,81.0,Film Daily,2015-01-18
R063,005,Joseph Fox,97.0,Movie Weekly,2021-01-13
R064,042,Austin Jacobson,44.0,Screen Critics,2017-15-05
R065,228,Brendan Wilson,92.0,Movie Weekly,2019-01-06
R066,199,Tiffany Cruz,84.0,Film Daily,2019-02-26
R067,099,James Reyes,41.0,The Reel View,2022-12-14
R068,184,Timothy Shaw,80.0,The Reel View,2017-06-24
R069,120,Charles Smith,42.0,The Reel View,2022-11-23
R070,362,Jessica Harris,,Movie Weekly,2018-02-10
R071,292,Joseph Shah,52.0,Screen Critics,2021-10-05
R072,290,Elaine Campbell,87.0,Film Daily,2021-05-23
R073,117,Cindy Wallace,57.0,Cinema Today,2015-04-05
R074,355,Lisa Hall,83.0,Screen Critics,2015-01-09
R075,219,John Boone,43.0,The Reel View,2019-07-25
R076,141,Ashley Rollins,71.0,The Reel View,2015-06-28
R077,370,Gary Walsh,66.0,Screen Critics,2015-01-22
R078,201,Jill Logan,,Screen Critics,2023-04-09
R079,116,Kathleen Crawford,44.0,Cinema Today,2018-09-10
R080,160,,41.0,Movie Weekly,2015-04-09
R081,304,Miss Yolanda Jones,93.0,The Reel View,2020-04-23
R082,123,Terry Thomas,92.0,The Reel View,2017-08-27
R083,038,Amber Garner,88.0,Film Daily,2021-06-29
R084,064,,,Film Daily,2022-10-11
R085,034,Jamie Khan,,Movie Weekly,2017-15-05
R086,321,Anthony Yang,43.0,Screen Critics,2017-14-05
R087,206,,54.0,Screen Critics,2021-12-30
R088,006,Kimberly Craig,67.0,Screen Critics,2018-10-23
R089,334,Misty Horn,69.0,Screen Critics,2017-02-27
R090,056,Sylvia Schmidt,44.0,Screen Critics,2017-03-04
R091,294,Paula White,62.0,Movie Weekly,2021-12-18
R092,228,Bryan Miller,42.0,Film Daily,2021-07-22
R093,224,Danielle Drake,62.0,The Reel View,2021-01-25
R094,398,Mary Cline,78.0,The Reel View,2015-02-03
R095,266,Christopher Morrison,43.0,Cinema Today,2021-04-10
R096,028,April Johnson,52.0,Cinema Today,2018-10-30
R097,097,Vincent Irwin,69.0,Screen Critics,2021-06-27
R098,290,Natalie Diaz,66.0,The Reel View,2020-02-04
R099,022,Amber Garcia,80.0,Cinema Today,2020-03-25
R100,320,Alexandra King,89.0,The Reel View,2019-03-20
