Movie ID,Title,Release Year,Genre,Box Office Gross ($),Production Budget ($),Lead Actor,Director
001,Expect local friend,2015,Thriller,480341423.0,56026676,Tracy Keith,William Holder
001,Expect local friend,2015,Thriller,480341423.0,56026676,Tracy Keith,William Holder
002,Director case discuss,2018,Romance,1206264595.0,293563230,Sarah Mcconnell,Brandon Gallagher
003,Base,2021,Drama,463382781.0,181707823,David Holland,Joshua Martin
004,Plan themselves glass,2022,Romance,1981614224.0,297374558,Jason Lopez,Derek Bradford
005,Understand near,2015,Thriller,622455910.0,125978655,David Holland,Clinton Harris
006,Above actually several sound,2020,Comedy,1508147647.0,39333930,Christina Reynolds,Brittany Webster
007,Parent dream,2023,Comedy,1811010706.0,31031457,Victoria Cherry,Andrea Anderson
008,Break morning,2020,Comedy,850613032.0,247344213,Anthony James MD,Kristen Wilson
009,Mrs view type,2021,Romance,471987740.0,75266288,Andrew Bennett,Mark Gross
010,Sea yourself style,2021,Romance,820521169.0,252282368,Angela Parker,Brandon Gallagher
011,Ball before,2023,Horror,1377454985.0,158571681,Kimberly Lopez,
012,See strong ground,2023,Horror,1960853367.0,161226325,Chad Perkins,Diane Meza
013,Necessary because,2023,Action,1050272770.0,?,Catherine Bush,Brittany Webster
014,Church herself push house,2016,Thriller,149632740.0,286994444,Anthony James MD,Kristen Wilson
015,Interest hear management,2021,Comedy,1622919657.0,108992155,Ann Grimes,Craig Parks
016,Case tax,2022,Action,138494574.0,298384352,Thomas Lee,
017,Movement food,2016,Action,153165001.0,150506343,Craig Arnold,Matthew Vega
018,Do since,2022,Comedy,1735086606.0,51640778,Amy Gonzalez,Sara Thompson
019,Nothing blood,2016,Action,729646787.0,59663364,John Kelly,Mr. Brent Bryan
020,Rich impact,2018,Horror,952616026.0,296453652,Ricky Alvarado,Brandon Gallagher
021,Go idea,2018,Comedy,1034709343.0,216306864,Christina Reynolds,Nancy Burns
022,Of appear threat,2022,Drama,1569748219.0,299375846,Karen Williams,Rachel Hunt
023,Full moment rule,2023,Action,123761493.0,?,Gerald Johnson,Christina Simmons
024,Husband before need,2016,Thriller,868101399.0,133185858,Victoria Cherry,Sara Thompson
025,Level energy respond,2020,Drama,1539010182.0,143600706,Veronica Wallace,Michelle Jones
026,Body central,2016,Action,1210019634.0,40331548,Chad Perkins,Joshua Martin
027,Bank soon hair explain,2020,Drama,1791453657.0,163412652,Ricky Alvarado,Catherine Good
028,Under southern recent stock,2016,Comedy,1911643499.0,298009682,Meghan Harding,Janet Miller
029,All knowledge rate general,2019,Romance,1945195299.0,28272449,Amy Gonzalez,John Davis
